Dataset,n_train,WFRDA,DeepSAD,REPEN,DevNet,PPO,FEAWAD,FROD
annthyroid,0.01,0.658473,0.6246553,0.6247652,0.6877979,0.7388616,0.8077671,0.9630032
annthyroid,0.02,0.658473,0.6231147,0.6236212,0.7017309,0.7580394,0.8554477,0.9854218
annthyroid,0.04,0.658473,0.7398358,0.6226196,0.7511127,0.7949379,0.8819127,0.9879416
annthyroid,0.08,0.658473,0.8182799,0.6045846,0.7567478,0.7994315,0.9208621,0.9882831
annthyroid,0.16,0.658473,0.917204,0.600588,0.7539555,0.8041623,0.9237564,0.9884577
arrhythmia,0.01,0.8131327,0.6946028,0.7123435,0.5776958,0.5767051,0.60035,0.8039624
arrhythmia,0.02,0.8131327,0.6957342,0.7422379,0.5970366,0.5918962,0.6030438,0.7863324
arrhythmia,0.04,0.8131327,0.7224227,0.7762156,0.6754456,0.6863684,0.6954771,0.7997643
arrhythmia,0.08,0.8131327,0.7385633,0.7619622,0.7216895,0.7337975,0.7296785,0.808381
arrhythmia,0.16,0.8131327,0.7675246,0.7860433,0.8089051,0.7985461,0.8075358,0.8438884
Cardiotocography,0.01,0.7529941,0.5959737,0.6873339,0.761054,0.808753,0.7996147,0.8106825
Cardiotocography,0.02,0.7529941,0.5818043,0.69543,0.7872926,0.8321627,0.8069082,0.7898364
Cardiotocography,0.04,0.7529941,0.6254414,0.7252083,0.8688616,0.8990702,0.8586438,0.8544216
Cardiotocography,0.08,0.7529941,0.6270089,0.7136225,0.8963589,0.9150239,0.8888961,0.8402965
Cardiotocography,0.16,0.7529941,0.7782157,0.7288784,0.9066408,0.9232737,0.902704,0.8354767
Ionosphere,0.01,0.7851797,0.7787906,0.7705467,0.5241251,0.5356264,0.6149844,0.8093413
Ionosphere,0.02,0.7851797,0.8381814,0.8132174,0.6824702,0.6725928,0.7336012,0.7598715
Ionosphere,0.04,0.7851797,0.8948266,0.8420372,0.770125,0.7442565,0.8210548,0.8607282
Ionosphere,0.08,0.7851797,0.9232836,0.8507451,0.8084827,0.7896338,0.8817709,0.8952894
Ionosphere,0.16,0.7851797,0.9380797,0.8653635,0.8477135,0.8417037,0.940855,0.9118295
mammography,0.01,0.8340956,0.8520058,0.8447112,0.8619536,0.8518702,0.8096964,0.8838527
mammography,0.02,0.8340956,0.8629411,0.8632518,0.8935412,0.8920276,0.8458858,0.9036187
mammography,0.04,0.8340956,0.8842117,0.8743497,0.9084696,0.9120124,0.8805263,0.8869196
mammography,0.08,0.8340956,0.915521,0.8833295,0.9248483,0.9271902,0.9210509,0.884127
mammography,0.16,0.8340956,0.9362953,0.8643546,0.9312018,0.9291589,0.9307196,0.8914418
mushroom1,0.01,0.9701247,0.8658998,0.8931244,0.8893493,0.8975043,0.9301294,0.9505907
mushroom1,0.02,0.9701247,0.8735697,0.9085247,0.9303747,0.9297392,0.9394197,0.9561751
mushroom1,0.04,0.9701247,0.8810201,0.914028,0.9382936,0.940836,0.9523374,0.9724061
mushroom1,0.08,0.9701247,0.9539049,0.9092452,0.9711949,0.9707278,0.9723383,0.9820559
mushroom1,0.16,0.9701247,0.9916508,0.9087315,0.9902301,0.9838719,0.9936557,0.9876003
mushroom2,0.01,0.8821361,0.8200052,0.8852923,0.9897924,0.9886362,0.9569804,0.9850297
mushroom2,0.02,0.8821361,0.8521498,0.8643088,0.9960596,0.9949336,0.9954476,0.9846905
mushroom2,0.04,0.8821361,0.8590883,0.8682898,0.9982241,0.9970731,0.998418,0.9851983
mushroom2,0.08,0.8821361,0.9493936,0.8657719,0.9993563,0.9983691,0.9996233,0.9831322
mushroom2,0.16,0.8821361,0.9939532,0.8654835,0.9995769,0.9987667,0.9992611,0.9833792
musk,0.01,0.999829,0.9510345,0.8929295,0.6745956,0.9296904,0.9292392,1
musk,0.02,0.999829,0.9860847,0.9572604,0.8610507,0.9970432,0.9352109,1
